Tourney,tourneyType,tourneyDate,player,FACTION,points,swiss_standing,elim_standing,listId,Ship,Pilot,Elite Pilot Talent.1,Elite Pilot Talent.2,Title,Crew.1,Crew.2,Crew.3,Astromech Droid,System,Modification.1,Modification.2,Cannon,Missile.1,Missile.2,Torpedo.1,Torpedo.2,Bomb,Turret Weapon,Tech
Worlds 2015 (final standings only),World championship,11/4/2015,Paul Heaver,Rebel Alliance,100,1,1,13729,T-70 X-Wing,Poe Dameron,Veteran Instincts,,,,,,R2-D2,,Autothrusters,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Paul Heaver,Rebel Alliance,100,1,1,13729,Y-Wing,Gold Squadron Pilot,,,BTL-A4 Y-Wing,,,,R3-A2,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Paul Heaver,Rebel Alliance,100,1,1,13729,Y-Wing,Gold Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Paul Heaver,Rebel Alliance,100,1,1,13729,Z-95 Headhunter,Bandit Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Aaron Bonar,Rebel Alliance,99,2,8,13730,K-Wing,Miranda Doni,,,,Tactician,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Aaron Bonar,Rebel Alliance,99,2,8,13730,K-Wing,Warden Squadron Pilot,,,,Tactician,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Aaron Bonar,Rebel Alliance,99,2,8,13730,K-Wing,Warden Squadron Pilot,,,,Tactician,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Francisco Berna Menendez,Galactic Empire,100,3,8,13731,TIE Advanced,Darth Vader,Predator,,TIE/x1,,,,,Advanced Targeting Computer,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Francisco Berna Menendez,Galactic Empire,100,3,8,13731,TIE Interceptor,Carnor Jax,Push the Limit,,Royal Guard TIE,,,,,,Stealth Device,Autothrusters,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Francisco Berna Menendez,Galactic Empire,100,3,8,13731,Lambda-Class Shuttle,Omicron Group Pilot,,,,Emperor Palpatine,,,,Sensor Jammer,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Kári Kristinsson,Rebel Alliance,100,4,16,13732,E-Wing,Corran Horn,Push the Limit,,,,,,R2-D2,Fire-Control System,Shield Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Kári Kristinsson,Rebel Alliance,100,4,16,13732,Y-Wing,Gray Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Kári Kristinsson,Rebel Alliance,100,4,16,13732,Y-Wing,Gray Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Brad Miller,Galactic Empire,98,5,16,13733,VT-49 Decimator,Rear Admiral Chiraneau,Veteran Instincts,,,Darth Vader,Gunner,,,,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Brad Miller,Galactic Empire,98,5,16,13733,TIE Phantom,Whisper,Veteran Instincts,,,,,,,Fire-Control System,Advanced Cloaking Device,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jonathan Reinig,Rebel Alliance,97,6,16,13734,K-Wing,Miranda Doni,,,,C-3PO,,,,,Advanced SLAM,,,,,Extra Munitions,,Seismic Charges,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jonathan Reinig,Rebel Alliance,97,6,16,13734,E-Wing,Corran Horn,Push the Limit,,,,,,R2-D2,Advanced Sensors,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Travis Cooper,Rebel Alliance,100,7,16,13735,E-Wing,Corran Horn,Veteran Instincts,,,,,,R2-D2,Fire-Control System,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Travis Cooper,Rebel Alliance,100,7,16,13735,YT-2400 Freighter,Dash Rendar,Push the Limit,,Outrider,Kyle Katarn,,,,,Engine Upgrade,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Przemyslaw Talach,Scum and Villainy,100,8,8,13736,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Przemyslaw Talach,Scum and Villainy,100,8,8,13736,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Przemyslaw Talach,Scum and Villainy,100,8,8,13736,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Przemyslaw Talach,Scum and Villainy,100,8,8,13736,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Dallas Parker,Galactic Empire,100,9,16,13737,TIE Fighter,Howlrunner,Crack Shot,,,,,,,,Hull Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Dallas Parker,Galactic Empire,100,9,16,13737,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Dallas Parker,Galactic Empire,100,9,16,13737,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Dallas Parker,Galactic Empire,100,9,16,13737,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Dallas Parker,Galactic Empire,100,9,16,13737,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Dallas Parker,Galactic Empire,100,9,16,13737,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Dallas Parker,Galactic Empire,100,9,16,13737,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Nathan Eide,Rebel Alliance,100,10,2,13738,T-70 X-Wing,Poe Dameron,Veteran Instincts,,,,,,R5-P9,,Autothrusters,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Nathan Eide,Rebel Alliance,100,10,2,13738,E-Wing,Corran Horn,Push the Limit,,,,,,R2-D2,Fire-Control System,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Nathan Eide,Rebel Alliance,100,10,2,13738,A-Wing,Prototype Pilot,,,,,,,,,,,,Chardaan Refit,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Phillip Booth,Scum and Villainy,100,11,4,13739,Aggressor,IG-88A,Crack Shot,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Phillip Booth,Scum and Villainy,100,11,4,13739,Aggressor,IG-88B,Crack Shot,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeremy Howard,Galactic Empire,100,12,4,13740,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Stealth Device,Autothrusters,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeremy Howard,Galactic Empire,100,12,4,13740,TIE Advanced,Darth Vader,Lone Wolf,,TIE/x1,,,,,Advanced Targeting Computer,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeremy Howard,Galactic Empire,100,12,4,13740,Lambda-Class Shuttle,Omicron Group Pilot,,,,Emperor Palpatine,,,,Sensor Jammer,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Travis Foss,Rebel Alliance,100,13,8,13741,E-Wing,Corran Horn,Veteran Instincts,,,,,,R2-D2,Fire-Control System,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Travis Foss,Rebel Alliance,100,13,8,13741,YT-2400 Freighter,Dash Rendar,Push the Limit,,Outrider,Kyle Katarn,,,,,Engine Upgrade,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Drew Bishop,Galactic Empire,100,14,16,13742,TIE Phantom,Whisper,Veteran Instincts,,,Intelligence Agent,,,,Sensor Jammer,Advanced Cloaking Device,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Drew Bishop,Galactic Empire,100,14,16,13742,TIE Fighter,Howlrunner,Veteran Instincts,,,,,,,,Hull Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Drew Bishop,Galactic Empire,100,14,16,13742,TIE Fighter,Academy Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Drew Bishop,Galactic Empire,100,14,16,13742,TIE Fighter,Academy Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Drew Bishop,Galactic Empire,100,14,16,13742,TIE Fighter,Academy Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Joshua Wicker,Rebel Alliance,100,15,16,13743,Y-Wing,Gray Squadron Pilot,,,BTL-A4 Y-Wing,,,,R3-A2,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Joshua Wicker,Rebel Alliance,100,15,16,13743,Y-Wing,Gray Squadron Pilot,,,BTL-A4 Y-Wing,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Joshua Wicker,Rebel Alliance,100,15,16,13743,Y-Wing,Gray Squadron Pilot,,,BTL-A4 Y-Wing,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Joshua Wicker,Rebel Alliance,100,15,16,13743,Y-Wing,Gold Squadron Pilot,,,,,,,,,,,,,,,,,Autoblaster Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Martin Hoffman,Galactic Empire,100,16,16,13744,TIE Advanced,Darth Vader,Predator,,TIE/x1,,,,,Advanced Targeting Computer,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Martin Hoffman,Galactic Empire,100,16,16,13744,TIE Interceptor,Soontir Fel,Push the Limit,,,,,,,,Autothrusters,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Martin Hoffman,Galactic Empire,100,16,16,13744,TIE Interceptor,Carnor Jax,Push the Limit,,,,,,,,Autothrusters,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jaren Foss,Galactic Empire,98,17,None,13745,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Targeting Computer,Autothrusters,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jaren Foss,Galactic Empire,98,17,None,13745,TIE Advanced,Darth Vader,Veteran Instincts,,TIE/x1,,,,,Advanced Targeting Computer,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jaren Foss,Galactic Empire,98,17,None,13745,Lambda-Class Shuttle,Omicron Group Pilot,,,,Emperor Palpatine,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jim Blakley,Rebel Alliance,100,18,None,13746,Y-Wing,Gold Squadron Pilot,,,BTL-A4 Y-Wing,,,,R3-A2,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jim Blakley,Rebel Alliance,100,18,None,13746,Y-Wing,Gold Squadron Pilot,,,,,,,,,,,,,,Bomb Loadout,,Ion Bombs,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jim Blakley,Rebel Alliance,100,18,None,13746,Y-Wing,Gold Squadron Pilot,,,BTL-A4 Y-Wing,,,,R2 Astromech,,,,,,,,,,Ion Cannon Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jim Blakley,Rebel Alliance,100,18,None,13746,Y-Wing,Gold Squadron Pilot,,,BTL-A4 Y-Wing,,,,R2 Astromech,,,,,,,,,,Ion Cannon Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Ronald Brannan,Rebel Alliance,100,19,None,13747,B-Wing,Blue Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Ronald Brannan,Rebel Alliance,100,19,None,13747,B-Wing,Blue Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Ronald Brannan,Rebel Alliance,100,19,None,13747,B-Wing,Blue Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Ronald Brannan,Rebel Alliance,100,19,None,13747,B-Wing,Blue Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Ronald Brannan,Rebel Alliance,100,19,None,13747,Z-95 Headhunter,Bandit Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Bob Randall,Scum and Villainy,98,20,None,13748,Aggressor,IG-88B,Veteran Instincts,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Bob Randall,Scum and Villainy,98,20,None,13748,Aggressor,IG-88C,Veteran Instincts,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Phil W,Scum and Villainy,100,21,None,13749,Kihraxz Fighter,Cartel Marauder,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Phil W,Scum and Villainy,100,21,None,13749,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Phil W,Scum and Villainy,100,21,None,13749,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Phil W,Scum and Villainy,100,21,None,13749,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jesper Hills,Scum and Villainy,99,22,None,13750,Aggressor,IG-88B,Push the Limit,,IG-2000,,,,,Advanced Sensors,Autothrusters,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jesper Hills,Scum and Villainy,99,22,None,13750,Aggressor,IG-88C,Push the Limit,,IG-2000,,,,,Advanced Sensors,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,John Sargent,Rebel Alliance,99,23,None,13751,B-Wing,Blue Squadron Pilot,,,,Tactician,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,John Sargent,Rebel Alliance,99,23,None,13751,Y-Wing,Gold Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,John Sargent,Rebel Alliance,99,23,None,13751,Z-95 Headhunter,Bandit Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,John Sargent,Rebel Alliance,99,23,None,13751,Z-95 Headhunter,Bandit Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,John Sargent,Rebel Alliance,99,23,None,13751,Y-Wing,Gold Squadron Pilot,,,,,,,R3-A2,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jean-Luc La Rue,Scum and Villainy,100,24,None,13752,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jean-Luc La Rue,Scum and Villainy,100,24,None,13752,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jean-Luc La Rue,Scum and Villainy,100,24,None,13752,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jean-Luc La Rue,Scum and Villainy,100,24,None,13752,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Daniel Topczewski,Rebel Alliance,99,25,None,13753,YT-2400 Freighter,Dash Rendar,Predator,,Outrider,R2-D2,,,,,Hull Upgrade,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Daniel Topczewski,Rebel Alliance,99,25,None,13753,B-Wing,Ten Numb,Veteran Instincts,,,C-3PO,,,,Sensor Jammer,,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Timothy Sturm,Scum and Villainy,100,26,None,13754,HWK-290,Torkil Mux,,,Moldy Crow,,,,,,,,,,,,,,Ion Cannon Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Timothy Sturm,Scum and Villainy,100,26,None,13754,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Autoblaster Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Timothy Sturm,Scum and Villainy,100,26,None,13754,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Timothy Sturm,Scum and Villainy,100,26,None,13754,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jean-Christophe Hu,Galactic Empire,100,27,None,13755,TIE Fighter,Academy Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jean-Christophe Hu,Galactic Empire,100,27,None,13755,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jean-Christophe Hu,Galactic Empire,100,27,None,13755,TIE Fighter,Black Squadron Pilot,Crack Shot,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jean-Christophe Hu,Galactic Empire,100,27,None,13755,TIE Fighter,Black Squadron Pilot,Crack Shot,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jean-Christophe Hu,Galactic Empire,100,27,None,13755,TIE Fighter,Black Squadron Pilot,Crack Shot,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jean-Christophe Hu,Galactic Empire,100,27,None,13755,TIE Fighter,Black Squadron Pilot,Crack Shot,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jean-Christophe Hu,Galactic Empire,100,27,None,13755,TIE Fighter,Black Squadron Pilot,Crack Shot,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Suresh Kumar,Scum and Villainy,98,28,None,13756,Aggressor,IG-88B,Veteran Instincts,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Suresh Kumar,Scum and Villainy,98,28,None,13756,Aggressor,IG-88C,Veteran Instincts,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Victor Robles,Scum and Villainy,99,29,None,13757,Aggressor,IG-88C,Veteran Instincts,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Victor Robles,Scum and Villainy,99,29,None,13757,Aggressor,IG-88B,Veteran Instincts,,IG-2000,,,,,Fire-Control System,Autothrusters,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Sigurdur Gunnarsson,Rebel Alliance,100,30,None,13758,Y-Wing,Gray Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Sigurdur Gunnarsson,Rebel Alliance,100,30,None,13758,Y-Wing,Gray Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Sigurdur Gunnarsson,Rebel Alliance,100,30,None,13758,E-Wing,Corran Horn,Push the Limit,,,,,,R2-D2,Fire-Control System,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeff Faulkner,Scum and Villainy,99,31,None,13759,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeff Faulkner,Scum and Villainy,99,31,None,13759,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeff Faulkner,Scum and Villainy,99,31,None,13759,Aggressor,IG-88B,Lone Wolf,,,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeff Paul,Scum and Villainy,100,32,None,13760,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeff Paul,Scum and Villainy,100,32,None,13760,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
