Tourney,tourneyType,tourneyDate,player,FACTION,points,swiss_standing,elim_standing,listId,Ship,Pilot,Elite Pilot Talent.1,Elite Pilot Talent.2,Title,Crew.1,Crew.2,Crew.3,Astromech Droid,System,Modification.1,Modification.2,Cannon,Missile.1,Missile.2,Torpedo.1,Torpedo.2,Bomb,Turret Weapon,Tech
Worlds 2015 (final standings only),World championship,11/4/2015,Jackson Bogart,Galactic Empire,99,127,None,13855,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Autothrusters,Stealth Device,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,David Clearihue,Rebel Alliance,99,128,None,13856,E-Wing,Corran Horn,Veteran Instincts,,,,,,R2-D2,Fire-Control System,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,David Clearihue,Rebel Alliance,99,128,None,13856,YT-2400 Freighter,Dash Rendar,Lone Wolf,,Outrider,Recon Specialist,,,,,,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Shereef Ishak,Galactic Empire,99,130,None,13858,TIE Advanced,Lieutenant Colzet,,,TIE/x1,,,,,Accuracy Corrector,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Shereef Ishak,Galactic Empire,99,130,None,13858,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Autothrusters,Shield Upgrade,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Shereef Ishak,Galactic Empire,99,130,None,13858,TIE Phantom,Echo,Veteran Instincts,,,Recon Specialist,,,,Fire-Control System,Advanced Cloaking Device,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Adam Leuenberger,Scum and Villainy,100,136,None,13864,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Adam Leuenberger,Scum and Villainy,100,136,None,13864,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Adam Leuenberger,Scum and Villainy,100,136,None,13864,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Adam Leuenberger,Scum and Villainy,100,136,None,13864,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Oli Pocknell,Rebel Alliance,97,137,None,13865,A-Wing,Jake Farrell,Veteran Instincts,Push the Limit,A-Wing Test Pilot,,,,,,Autothrusters,,,Proton Rockets,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Oli Pocknell,Rebel Alliance,97,137,None,13865,YT-1300,Han Solo,Predator,,Millennium Falcon,Luke Skywalker,C-3PO,,,,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jon Christensen,Rebel Alliance,100,139,None,13867,E-Wing,Corran Horn,Veteran Instincts,,,,,,R2-D2,Fire-Control System,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jon Christensen,Rebel Alliance,100,139,None,13867,YT-2400 Freighter,Dash Rendar,Push the Limit,,Outrider,Kyle Katarn,,,,,Engine Upgrade,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,dustin Poskochill,Galactic Empire,99,141,None,13869,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Autothrusters,Stealth Device,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,dustin Poskochill,Galactic Empire,99,141,None,13869,Lambda-Class Shuttle,Omicron Group Pilot,,,,Emperor Palpatine,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,dustin Poskochill,Galactic Empire,99,141,None,13869,TIE Advanced,Darth Vader,Veteran Instincts,,TIE/x1,,,,,Advanced Targeting Computer,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Tyson Sparks,Galactic Empire,99,142,None,13870,Lambda-Class Shuttle,Omicron Group Pilot,,,,Emperor Palpatine,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Tyson Sparks,Galactic Empire,99,142,None,13870,TIE Advanced,Darth Vader,Veteran Instincts,,TIE/x1,,,,,Advanced Targeting Computer,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Tyson Sparks,Galactic Empire,99,142,None,13870,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Stealth Device,Autothrusters,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Wesley Brown,Scum and Villainy,100,143,None,13871,Aggressor,IG-88A,Crack Shot,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Wesley Brown,Scum and Villainy,100,143,None,13871,Aggressor,IG-88B,Predator,,IG-2000,,,,,Advanced Sensors,Autothrusters,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Michael Taglioni,Galactic Empire,96,145,None,13873,TIE Phantom,Sigma Squadron Pilot,,,,Recon Specialist,,,,Advanced Sensors,Stygium Particle Accelerator,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Michael Taglioni,Galactic Empire,96,145,None,13873,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Autothrusters,Targeting Computer,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Michael Taglioni,Galactic Empire,96,145,None,13873,Lambda-Class Shuttle,Omicron Group Pilot,,,,Emperor Palpatine,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Neil Amswych,Galactic Empire,99,146,None,13874,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Stealth Device,Autothrusters,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Neil Amswych,Galactic Empire,99,146,None,13874,TIE Advanced,Darth Vader,Veteran Instincts,,TIE/x1,,,,,Advanced Targeting Computer,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Neil Amswych,Galactic Empire,99,146,None,13874,Lambda-Class Shuttle,Omicron Group Pilot,,,,Emperor Palpatine,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,James Marsden,Galactic Empire,97,149,None,13877,TIE Advanced,Tempest Squadron Pilot,,,TIE/x1,,,,,Accuracy Corrector,Twin Ion Engine Mk. II,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,James Marsden,Galactic Empire,97,149,None,13877,TIE Advanced,Tempest Squadron Pilot,,,TIE/x1,,,,,Accuracy Corrector,Twin Ion Engine Mk. II,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,James Marsden,Galactic Empire,97,149,None,13877,TIE Advanced,Tempest Squadron Pilot,,,TIE/x1,,,,,Accuracy Corrector,Twin Ion Engine Mk. II,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,James Marsden,Galactic Empire,97,149,None,13877,TIE Advanced,Darth Vader,Determination,,TIE/x1,,,,,Accuracy Corrector,Twin Ion Engine Mk. II,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Richard Thompson,Scum and Villainy,100,150,None,13878,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Richard Thompson,Scum and Villainy,100,150,None,13878,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Richard Thompson,Scum and Villainy,100,150,None,13878,YV-666,Bossk,Crack Shot,,Hound's Tooth,Outlaw Tech,Greedo,,,,Maneuvering Fins,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Noel Cuevas,Scum and Villainy,100,156,None,13884,Aggressor,IG-88B,Crack Shot,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Noel Cuevas,Scum and Villainy,100,156,None,13884,Aggressor,IG-88A,Crack Shot,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Alistair Foss,Rebel Alliance,100,157,None,13885,Y-Wing,Gold Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Alistair Foss,Rebel Alliance,100,157,None,13885,Y-Wing,Gold Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Alistair Foss,Rebel Alliance,100,157,None,13885,Y-Wing,Gold Squadron Pilot,,,BTL-A4 Y-Wing,,,,R3-A2,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Alistair Foss,Rebel Alliance,100,157,None,13885,X-Wing,Biggs Darklighter,,,,,,,R4-D6,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Francisco Lopez Nunez,Scum and Villainy,100,160,None,13888,YV-666,Bossk,Veteran Instincts,,,K4 Security Droid,Gunner,Outlaw Tech,,,,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Francisco Lopez Nunez,Scum and Villainy,100,160,None,13888,Aggressor,IG-88B,Veteran Instincts,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Doug Howe,Galactic Empire,98,162,None,13890,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Doug Howe,Galactic Empire,98,162,None,13890,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Doug Howe,Galactic Empire,98,162,None,13890,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Doug Howe,Galactic Empire,98,162,None,13890,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Doug Howe,Galactic Empire,98,162,None,13890,TIE Phantom,Whisper,Veteran Instincts,,,Gunner,,,,Sensor Jammer,Advanced Cloaking Device,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Tyler Tippett,Galactic Empire,98,174,None,13902,TIE Advanced,Darth Vader,Veteran Instincts,,TIE/x1,,,,,Advanced Targeting Computer,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Tyler Tippett,Galactic Empire,98,174,None,13902,TIE Advanced,Tempest Squadron Pilot,,,TIE/x1,,,,,Accuracy Corrector,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Tyler Tippett,Galactic Empire,98,174,None,13902,TIE Advanced,Tempest Squadron Pilot,,,TIE/x1,,,,,Accuracy Corrector,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Tyler Tippett,Galactic Empire,98,174,None,13902,TIE Advanced,Tempest Squadron Pilot,,,TIE/x1,,,,,Accuracy Corrector,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeffrey Alan,Scum and Villainy,98,175,None,13903,Kihraxz Fighter,Talonbane Cobra,Predator,,,,,,,,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeffrey Alan,Scum and Villainy,98,175,None,13903,HWK-290,Palob Godalhi,Wingman,,,Bossk,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeffrey Alan,Scum and Villainy,98,175,None,13903,HWK-290,Torkil Mux,,,,Greedo,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Audrey Cartensen,Galactic Empire,100,176,None,13904,Lambda-Class Shuttle,Omicron Group Pilot,,,,Emperor Palpatine,,,,,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Audrey Cartensen,Galactic Empire,100,176,None,13904,TIE Advanced,Darth Vader,Veteran Instincts,,TIE/x1,,,,,Advanced Targeting Computer,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Audrey Cartensen,Galactic Empire,100,176,None,13904,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Autothrusters,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Christopher Lieske,Scum and Villainy,100,178,None,13906,Aggressor,IG-88C,Predator,,IG-2000,,,,,Sensor Jammer,Autothrusters,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Christopher Lieske,Scum and Villainy,100,178,None,13906,Aggressor,IG-88B,Predator,,IG-2000,,,,,Sensor Jammer,Autothrusters,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Trevor Woodrow,Galactic Empire,97,179,None,13907,TIE Phantom,Whisper,Veteran Instincts,,,Rebel Captive,,,,Fire-Control System,Advanced Cloaking Device,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Trevor Woodrow,Galactic Empire,97,179,None,13907,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Autothrusters,Targeting Computer,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Trevor Woodrow,Galactic Empire,97,179,None,13907,Lambda-Class Shuttle,Omicron Group Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Dana Fogle,Rebel Alliance,100,180,None,13908,Z-95 Headhunter,Tala Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Dana Fogle,Rebel Alliance,100,180,None,13908,B-Wing,Blue Squadron Pilot,,,,Tactician,,,,Fire-Control System,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Dana Fogle,Rebel Alliance,100,180,None,13908,HWK-290,Roark Garnet,,,Moldy Crow,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Dana Fogle,Rebel Alliance,100,180,None,13908,K-Wing,Warden Squadron Pilot,,,,Intelligence Agent,,,,,Advanced SLAM,,,,,Extra Munitions,,Conner Net,,
Worlds 2015 (final standings only),World championship,11/4/2015,Lyle Hayhurst,Galactic Empire,99,181,None,13909,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Autothrusters,Stealth Device,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Lyle Hayhurst,Galactic Empire,99,181,None,13909,Lambda-Class Shuttle,Omicron Group Pilot,,,,Emperor Palpatine,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Lyle Hayhurst,Galactic Empire,99,181,None,13909,TIE Advanced,Darth Vader,Veteran Instincts,,TIE/x1,,,,,Advanced Targeting Computer,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Aaron Hannigan,Rebel Alliance,100,183,None,13911,YT-2400 Freighter,Dash Rendar,Lone Wolf,,Outrider,Flight Instructor,,,,,Anti-Pursuit Lasers,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Aaron Hannigan,Rebel Alliance,100,183,None,13911,K-Wing,Miranda Doni,,,,C-3PO,,,,,Advanced SLAM,,,,,,,Conner Net,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Nick Tomlonovic,Scum and Villainy,100,184,None,13912,Kihraxz Fighter,Black Sun Ace,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Nick Tomlonovic,Scum and Villainy,100,184,None,13912,Kihraxz Fighter,Black Sun Ace,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Nick Tomlonovic,Scum and Villainy,100,184,None,13912,HWK-290,Palob Godalhi,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Nick Tomlonovic,Scum and Villainy,100,184,None,13912,HWK-290,Torkil Mux,,,,Recon Specialist,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Nate Collins,Galactic Empire,100,185,None,13913,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Autothrusters,Stealth Device,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Nate Collins,Galactic Empire,100,185,None,13913,VT-49 Decimator,Rear Admiral Chiraneau,Veteran Instincts,,,Gunner,Rebel Captive,Darth Vader,,,Engine Upgrade,,,,,,,Proximity Mines,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Carlo Roque,Scum and Villainy,100,188,None,13916,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Carlo Roque,Scum and Villainy,100,188,None,13916,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Carlo Roque,Scum and Villainy,100,188,None,13916,Firespray-31,Boba Fett,Veteran Instincts,,,K4 Security Droid,,,,,Engine Upgrade,,AutoBlaster,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Ryan Sliwoski,Scum and Villainy,96,189,None,13917,Y-Wing,Hired Gun,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Ryan Sliwoski,Scum and Villainy,96,189,None,13917,Kihraxz Fighter,Black Sun Ace,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Ryan Sliwoski,Scum and Villainy,96,189,None,13917,Kihraxz Fighter,Black Sun Ace,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Ryan Sliwoski,Scum and Villainy,96,189,None,13917,Kihraxz Fighter,Black Sun Ace,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
